Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15
 Aphelios,47,41,94%,4.4,31,16,66%,5.2,34:21:00,9.3,534,2.1
 Sett,34,48,87%,4.3,24,10,71%,3.4,32:16:00,7.2,390,3.3
 Aatrox,52,23,80%,6.3,22,30,42%,2.5,34:10:00,8.1,368,7.3
 Syndra,30,43,78%,5.2,22,8,73%,5.2,35:06:00,8.8,519,7.2
 Senna,25,48,78%,3.5,10,15,40%,6.2,34:58:00,7.2,459,-0.1
 Ornn,27,46,78%,3.7,16,11,59%,4.3,36:44:00,6.6,342,-5.5
 Tahm Kench,42,28,74%,4.3,18,24,43%,2.9,34:46:00,1.1,110,0.5
 LeBlanc,14,56,74%,7.9,4,10,29%,2.5,35:53:00,7.8,428,-5.2
 Rumble,14,50,68%,3.8,8,6,57%,4.4,36:14:00,7,589,-2.2
 Gragas,29,27,60%,8.1,19,10,66%,4.2,32:06:00,5.1,328,1.7
 Lee Sin,41,15,60%,6.9,22,19,54%,3.1,34:25:00,4.9,190,-2.9
 Zoe,33,21,57%,8.3,17,16,52%,4.2,34:07:00,7.8,549,-2.2
 Jarvan IV,28,26,57%,7.6,13,15,46%,2.7,33:53:00,4.8,166,2.5
 Xayah,22,28,53%,3.5,15,7,68%,7.2,34:25:00,9.8,448,-1.2
 Nautilus,38,9,50%,5.3,22,16,58%,2.2,34:05:00,1.3,133,-0.2
 Elise,14,30,47%,5.4,5,9,36%,2.1,37:44:00,4.9,272,-2.5
 Miss Fortune,34,7,44%,7,14,20,41%,4.1,33:26:00,9.6,433,-1.1
 Sejuani,22,16,40%,8.6,9,13,41%,3.1,32:37:00,4.9,184,-2.6
 Olaf,7,27,36%,7,3,4,43%,2.3,37:37:00,5.7,281,18.6
 Lucian,6,28,36%,3.7,3,3,50%,3.6,33:25:00,9.2,400,15.8
 Braum,25,8,35%,7.6,12,13,48%,3.9,36:25:00,1,130,2
 Yuumi,7,25,34%,3.5,2,5,29%,3.6,32:44:00,0.1,266,-19.9
 Pantheon,13,19,34%,5.8,7,6,54%,2.9,35:37:00,5.2,276,-11.2
 Orianna,21,11,34%,9.1,11,10,52%,5,37:06:00,8.9,507,6.5
 Varus,22,10,34%,5.6,8,14,36%,3.8,33:35:00,9.7,496,7.9
 Thresh,22,9,33%,8.4,10,12,45%,2.8,33:53:00,1,89,0
 Akali,1,30,33%,2.4,0,1,0%,-,26:57:00,6.9,242,-29
 Qiyana,7,24,33%,5.7,6,1,86%,3.4,31:17:00,7,404,-15.9
 Gangplank,15,14,31%,4.9,6,9,40%,3.2,35:31:00,8.8,543,-7.1
 RekSai,17,11,30%,7.5,7,10,41%,2.4,34:01:00,5.2,215,1.6
 Rakan,23,5,30%,6.2,15,8,65%,6.7,33:51:00,1.3,125,2.4
 Renekton,13,12,27%,7.3,5,8,38%,1.7,34:41:00,8,350,3.9
 Soraka,3,21,26%,3.7,2,1,67%,6,32:26:00,5.6,327,-10
 Trundle,14,8,23%,6.1,8,6,57%,3.1,35:57:00,4.6,174,1.1
 Mordekaiser,12,10,23%,5.6,5,7,42%,1.4,35:05:00,7.5,362,-12.6
 Kalista,5,14,20%,3.2,3,2,60%,3.4,31:54:00,9.8,435,22.6
 Cassiopeia,10,8,19%,8.6,5,5,50%,3.8,34:15:00,8.6,365,-6.4
 Ezreal,15,2,18%,5,5,10,33%,4.4,37:48:00,9.2,574,-8.6
 Viktor,12,4,17%,8.3,6,6,50%,6.4,36:51:00,9.3,635,0.9
 Irelia,4,12,17%,4.1,3,1,75%,2.8,33:25:00,8.7,394,-9
 Leona,13,2,16%,9.5,5,8,38%,2.1,34:32:00,1.1,97,-2.1
 Camille,7,5,13%,8.8,3,4,43%,2.1,34:17:00,8.5,383,-7.9
 Azir,8,4,13%,8.3,1,7,13%,1.4,32:25:00,9.2,376,5
 Riven,1,10,12%,3.6,1,0,100%,-,38:32:00,9.3,511,21
 Corki,4,4,9%,9,1,3,25%,3,31:11:00,9.5,606,-3.5
 Ryze,6,2,9%,7,2,4,33%,2.9,33:57:00,10.4,460,5.8
 Yasuo,4,3,7%,8.7,2,2,50%,1.8,29:29:00,8,339,5.5
 Taliyah,3,4,7%,9.3,2,1,67%,7,36:10:00,7.9,523,-12.7
 Taric,4,3,7%,5.7,2,2,50%,5,32:32:00,1.2,75,4.8
 Ekko,3,3,6%,8.3,1,2,33%,4.5,30:33:00,9.4,472,0.7
 Zilean,2,4,6%,8,1,1,50%,9.5,33:05:00,8.4,453,5.5
 Ashe,6,0,6%,-,2,4,33%,3.7,39:10:00,9.8,564,-7.5
 Kennen,4,1,5%,9,1,3,25%,1.4,32:24:00,8.3,424,5
 Blitzcrank,2,3,5%,4,1,1,50%,3.7,36:55:00,0.9,105,0.5
 Kayle,3,2,5%,6.5,0,3,0%,1.3,32:29:00,9,440,11.7
 Vladimir,2,3,5%,7.3,2,0,100%,14,26:14:00,8.9,425,15
 Diana,4,1,5%,9,1,3,25%,1,35:59:00,8,210,-14
 Fiora,3,1,4%,8,2,1,67%,1.8,33:05:00,8.4,359,-14.3
 Sylas,2,2,4%,9,1,1,50%,1.8,27:17:00,6.5,454,-10.5
 Kaisa,4,0,4%,-,2,2,50%,4.3,28:21:00,9.3,424,-8.2
 Karthus,1,2,3%,5.5,0,1,0%,0.5,32:04:00,6.8,345,45
 Morgana,2,1,3%,9,1,1,50%,-,29:14:00,4.1,246,-1.5
 Shen,3,0,3%,-,1,2,33%,1.6,29:29:00,3,180,-4.3
 Ahri,2,1,3%,8,0,2,0%,2.3,32:56:00,7.6,556,11
 Zac,3,0,3%,-,0,3,0%,0.6,32:18:00,5.8,278,-27
 Janna,1,1,2%,3,1,0,100%,11,50:51:00,3.4,250,-58
 Ziggs,2,0,2%,-,1,1,50%,5,30:57:00,4.4,469,-16.5
 Jayce,2,0,2%,-,1,1,50%,6,31:44:00,8.7,825,12.5
 Karma,1,1,2%,10,0,1,0%,0.2,29:48:00,6.6,258,-29
 Alistar,2,0,2%,-,1,1,50%,3.2,30:03:00,1.1,127,-1
 Kindred,1,1,2%,9,0,1,0%,1.3,38:40:00,5.3,284,12
 Malzahar,2,0,2%,-,2,0,100%,19,29:46:00,9.6,401,-10
 Quinn,1,0,1%,-,1,0,100%,4.7,30:55:00,8.5,771,22
 Bard,1,0,1%,-,1,0,100%,15,34:31:00,1.3,258,0
 Anivia,1,0,1%,-,0,1,0%,0.5,31:01:00,8.9,123,-7
 Pyke,1,0,1%,-,1,0,100%,6.5,29:51:00,1.7,215,0
 Veigar,1,0,1%,-,1,0,100%,-,24:34:00,8.3,446,-12
 Sivir,0,1,1%,9,,,,,0:00,,,
 Maokai,1,0,1%,-,0,1,0%,0.3,30:05:00,7.6,271,-23
 Chogath,1,0,1%,-,1,0,100%,3.3,36:04:00,6.1,464,41
 VelKoz,1,0,1%,-,0,1,0%,1.5,33:34:00,8.1,333,-3
 Tristana,1,0,1%,-,1,0,100%,-,32:20:00,10.6,457,-2
 Lissandra,0,1,1%,7,,,,,0:00,,,
 Jinx,1,0,1%,-,0,1,0%,0,31:01:00,10.5,239,-4
 Sona,1,0,1%,-,0,1,0%,13,39:09:00,7,450,-29
 Neeko,1,0,1%,-,0,1,0%,0.7,26:57:00,7.9,338,-17
 Galio,1,0,1%,-,0,1,0%,3,30:22:00,2.1,118,13
 Wukong,0,0,0%,-,,,,,0:00,,,
 Amumu,0,0,0%,-,,,,,0:00,,,
 Katarina,0,0,0%,-,,,,,0:00,,,
 Shyvana,0,0,0%,-,,,,,0:00,,,
 Twitch,0,0,0%,-,,,,,0:00,,,
 Aurelion Sol,0,0,0%,-,,,,,0:00,,,
 Fizz,0,0,0%,-,,,,,0:00,,,
 Nidalee,0,0,0%,-,,,,,0:00,,,
 Xin Zhao,0,0,0%,-,,,,,0:00,,,
 Brand,0,0,0%,-,,,,,0:00,,,
 KogMaw,0,0,0%,-,,,,,0:00,,,
 Sion,0,0,0%,-,,,,,0:00,,,
 Urgot,0,0,0%,-,,,,,0:00,,,
 Ivern,0,0,0%,-,,,,,0:00,,,
 Graves,0,0,0%,-,,,,,0:00,,,
 Nunu,0,0,0%,-,,,,,0:00,,,
 Zed,0,0,0%,-,,,,,0:00,,,
 Darius,0,0,0%,-,,,,,0:00,,,
 Lux,0,0,0%,-,,,,,0:00,,,
 Swain,0,0,0%,-,,,,,0:00,,,
 Vi,0,0,0%,-,,,,,0:00,,,
 Heimerdinger,0,0,0%,-,,,,,0:00,,,
 Rammus,0,0,0%,-,,,,,0:00,,,
 Teemo,0,0,0%,-,,,,,0:00,,,
 Gnar,0,0,0%,-,,,,,0:00,,,
 Draven,0,0,0%,-,,,,,0:00,,,
 Master Yi,0,0,0%,-,,,,,0:00,,,
 Warwick,0,0,0%,-,,,,,0:00,,,
 Kassadin,0,0,0%,-,,,,,0:00,,,
 Shaco,0,0,0%,-,,,,,0:00,,,
 Twisted Fate,0,0,0%,-,,,,,0:00,,,
 Jhin,0,0,0%,-,,,,,0:00,,,
 Fiddlesticks,0,0,0%,-,,,,,0:00,,,
 Nasus,0,0,0%,-,,,,,0:00,,,
 Xerath,0,0,0%,-,,,,,0:00,,,
 Annie,0,0,0%,-,,,,,0:00,,,
 KhaZix,0,0,0%,-,,,,,0:00,,,
 Singed,0,0,0%,-,,,,,0:00,,,
 Udyr,0,0,0%,-,,,,,0:00,,,
 Kled,0,0,0%,-,,,,,0:00,,,
 Garen,0,0,0%,-,,,,,0:00,,,
 Nocturne,0,0,0%,-,,,,,0:00,,,
 Yorick,0,0,0%,-,,,,,0:00,,,
 Caitlyn,0,0,0%,-,,,,,0:00,,,
 Lulu,0,0,0%,-,,,,,0:00,,,
 Skarner,0,0,0%,-,,,,,0:00,,,
 Vayne,0,0,0%,-,,,,,0:00,,,
 Kayn,0,0,0%,-,,,,,0:00,,,
 Hecarim,0,0,0%,-,,,,,0:00,,,
 Poppy,0,0,0%,-,,,,,0:00,,,
 Talon,0,0,0%,-,,,,,0:00,,,
 Zyra,0,0,0%,-,,,,,0:00,,,
 Dr. Mundo,0,0,0%,-,,,,,0:00,,,
 Malphite,0,0,0%,-,,,,,0:00,,,
 Volibear,0,0,0%,-,,,,,0:00,,,
 Jax,0,0,0%,-,,,,,0:00,,,
 Rengar,0,0,0%,-,,,,,0:00,,,
 Tryndamere,0,0,0%,-,,,,,0:00,,,
 Illaoi,0,0,0%,-,,,,,0:00,,,
 Evelynn,0,0,0%,-,,,,,0:00,,,
 Nami,0,0,0%,-,,,,,0:00,,,
